Decile,min_prob,max_prob,events,nonevents,event_rate,nonevent_rate,cum_eventrate,cum_noneventrate,KS
1,0.5815364693551799,0.9028794101320318,169.0,265.0,26.41%,7.18%,26.41%,7.18%,19.2
2,0.4612286801794008,0.581289763132597,124.0,309.0,19.38%,8.37%,45.78%,15.55%,30.2
3,0.36399855390676633,0.4608272001471064,82.0,351.0,12.81%,9.51%,58.59%,25.05%,33.5
4,0.28757794141641496,0.3638798242916744,77.0,356.0,12.03%,9.64%,70.62%,34.70%,35.9
5,0.23349187597125845,0.2870755992085608,64.0,369.0,10.00%,9.99%,80.62%,44.69%,35.9
6,0.1856719037019117,0.2334083747066452,42.0,391.0,6.56%,10.59%,87.19%,55.28%,31.900000000000002
7,0.15176813694085647,0.18566248109239114,37.0,396.0,5.78%,10.73%,92.97%,66.01%,27.0
8,0.12166679492007582,0.15175287251127892,21.0,412.0,3.28%,11.16%,96.25%,77.17%,19.1
9,0.08665493571129254,0.12159012662509415,18.0,415.0,2.81%,11.24%,99.06%,88.41%,10.7
10,0.006933244204768005,0.08658311409886914,6.0,428.0,0.94%,11.59%,100.00%,100.00%,0.0
